filename,n_blocks,cache_hits
DEDUP_237,10,0
DEDUP_260,10,0
DEDUP_227,10,0
DEDUP_246,10,0
DEDUP_229,10,0
DEDUP_254,10,0
DEDUP_241,10,0
DEDUP_241,10,0
DEDUP_240,10,0
DEDUP_249,10,0
DEDUP_251,10,0
DEDUP_262,10,0
DEDUP_245,10,0
DEDUP_241,10,0
DEDUP_249,10,0
DEDUP_260,10,0
DEDUP_243,10,0
DEDUP_240,10,0
DEDUP_247,10,0
DEDUP_266,10,0
DEDUP_260,10,0
DEDUP_236,10,0
DEDUP_249,10,0
DEDUP_242,10,0
DEDUP_261,10,0
DEDUP_249,10,0
DEDUP_265,10,0
DEDUP_245,10,0
DEDUP_243,10,0
DEDUP_254,10,0
DEDUP_259,10,0
DEDUP_263,10,0
DEDUP_259,10,0
DEDUP_236,10,0
DEDUP_259,10,0
DEDUP_270,10,0
DEDUP_256,10,0
DEDUP_255,10,0
DEDUP_235,10,0
DEDUP_250,10,0
DEDUP_255,10,0
DEDUP_265,10,0
DEDUP_257,10,0
DEDUP_236,10,0
DEDUP_245,10,0
DEDUP_259,10,0
DEDUP_248,10,0
DEDUP_245,10,0
DEDUP_257,10,0
DEDUP_260,10,0
DEDUP_251,10,0
DEDUP_259,10,0
DEDUP_248,10,0
DEDUP_245,10,0
DEDUP_242,10,0
DEDUP_233,10,0
DEDUP_242,10,0
DEDUP_251,10,0
DEDUP_259,10,0
DEDUP_247,10,0
DEDUP_241,10,0
DEDUP_247,10,0
DEDUP_263,10,0
DEDUP_244,10,0
DEDUP_257,10,0
DEDUP_247,10,0
DEDUP_236,10,0
DEDUP_242,10,0
DEDUP_268,10,0
DEDUP_260,10,0
DEDUP_261,10,0
DEDUP_248,10,0
DEDUP_245,10,0
DEDUP_240,10,0
DEDUP_242,10,0
DEDUP_246,10,0
DEDUP_246,10,0
DEDUP_251,10,0
DEDUP_228,10,0
DEDUP_265,10,0
DEDUP_248,10,0
DEDUP_239,10,0
DEDUP_251,10,0
DEDUP_251,10,0
DEDUP_254,10,0
DEDUP_248,10,0
DEDUP_269,10,0
DEDUP_246,10,0
DEDUP_259,10,0
DEDUP_256,10,0
DEDUP_255,10,0
DEDUP_236,10,0
DEDUP_264,10,0
DEDUP_235,10,0
DEDUP_242,10,0
DEDUP_266,10,0
DEDUP_246,10,0
DEDUP_242,10,0
DEDUP_260,10,0
DEDUP_267,10,0
DEDUP_262,10,0
DEDUP_258,10,0
DEDUP_247,10,0
DEDUP_254,10,0
DEDUP_249,10,0
DEDUP_255,10,0
DEDUP_242,10,0
DEDUP_270,10,0
DEDUP_254,10,0
DEDUP_251,10,0
DEDUP_256,10,0
DEDUP_251,10,0
DEDUP_231,10,0
DEDUP_269,10,0
DEDUP_256,10,0
DEDUP_242,10,0
DEDUP_238,10,0
DEDUP_255,10,0
DEDUP_256,10,0
DEDUP_250,10,0
DEDUP_245,10,0
DEDUP_275,10,0
DEDUP_245,10,0
DEDUP_263,10,0
DEDUP_254,10,0
DEDUP_260,10,0
DEDUP_253,10,0
DEDUP_242,10,0
DEDUP_262,10,0
DEDUP_235,10,0
DEDUP_239,10,0
DEDUP_249,10,0
DEDUP_255,10,0
DEDUP_257,10,0
DEDUP_251,10,0
DEDUP_248,10,0
DEDUP_246,10,0
DEDUP_241,10,0
DEDUP_244,10,0
DEDUP_269,10,0
DEDUP_239,10,0
DEDUP_251,10,0
DEDUP_246,10,0
DEDUP_258,10,0
DEDUP_240,10,0
DEDUP_239,10,0
DEDUP_253,10,0
DEDUP_247,10,0
DEDUP_241,10,0
DEDUP_240,10,0
DEDUP_246,10,0
DEDUP_259,10,0
DEDUP_239,10,0
DEDUP_244,10,0
DEDUP_243,10,0
DEDUP_264,10,0
DEDUP_244,10,0
DEDUP_243,10,0
DEDUP_245,10,0
DEDUP_252,10,0
DEDUP_249,10,0
DEDUP_241,10,0
DEDUP_246,10,0
DEDUP_248,10,0
DEDUP_262,10,0
DEDUP_249,10,0
DEDUP_242,10,0
DEDUP_262,10,0
DEDUP_254,10,0
DEDUP_235,10,0
DEDUP_256,10,0
DEDUP_260,10,0
DEDUP_262,10,0
DEDUP_254,10,0
DEDUP_264,10,0
DEDUP_254,10,0
DEDUP_246,10,0
DEDUP_256,10,0
DEDUP_251,10,0
DEDUP_270,10,0
DEDUP_255,10,0
DEDUP_255,10,0
DEDUP_248,10,0
DEDUP_260,10,0
DEDUP_255,10,0
DEDUP_247,10,0
DEDUP_234,10,0
DEDUP_251,10,0
DEDUP_255,10,0
DEDUP_235,10,0
DEDUP_260,10,0
DEDUP_254,10,0
DEDUP_249,10,0
DEDUP_277,10,0
DEDUP_260,10,0
DEDUP_240,10,0
DEDUP_237,10,0
DEDUP_250,10,0
DEDUP_231,10,0
DEDUP_229,10,0
DEDUP_262,10,0
DEDUP_262,10,0
DEDUP_263,10,0
DEDUP_261,10,0
DEDUP_239,10,0
DEDUP_256,10,0
DEDUP_254,10,0
DEDUP_236,10,0
DEDUP_266,10,0
DEDUP_258,10,0
DEDUP_248,10,0
DEDUP_258,10,0
DEDUP_252,10,0
DEDUP_242,10,0
DEDUP_255,10,0
DEDUP_253,10,0
DEDUP_231,10,0
DEDUP_247,10,0
DEDUP_256,10,0
DEDUP_243,10,0
DEDUP_254,10,0
DEDUP_258,10,0
DEDUP_249,10,0
DEDUP_254,10,0
DEDUP_268,10,0
DEDUP_237,10,0
DEDUP_270,10,0
DEDUP_260,10,0
DEDUP_252,10,0
DEDUP_231,10,0
DEDUP_245,10,0
DEDUP_238,10,0
DEDUP_282,10,0
DEDUP_255,10,0
DEDUP_241,10,0
DEDUP_248,10,0
DEDUP_267,10,0
DEDUP_260,10,0
DEDUP_269,10,0
DEDUP_259,10,0
DEDUP_263,10,0
DEDUP_234,10,0
DEDUP_245,10,0
DEDUP_256,10,0
DEDUP_267,10,0
DEDUP_255,10,0
DEDUP_242,10,0
DEDUP_259,10,0
DEDUP_249,10,0
DEDUP_234,10,0
DEDUP_245,10,0
DEDUP_255,10,0
DEDUP_257,10,0
DEDUP_263,10,0
DEDUP_239,10,0
DEDUP_252,10,0
DEDUP_256,10,0
DEDUP_248,10,0
DEDUP_254,10,0
DEDUP_265,10,0
DEDUP_244,10,0
DEDUP_238,10,0
DEDUP_243,10,0
DEDUP_252,10,0
DEDUP_249,10,0
DEDUP_240,10,0
DEDUP_256,10,0
DEDUP_248,10,0
DEDUP_267,10,0
DEDUP_241,10,0
DEDUP_247,10,0
DEDUP_238,10,0
DEDUP_251,10,0
DEDUP_255,10,0
DEDUP_247,10,0
DEDUP_257,10,0
DEDUP_249,10,0
DEDUP_249,10,0
DEDUP_241,10,0
DEDUP_250,10,0
DEDUP_254,10,0
DEDUP_261,10,0
DEDUP_246,10,0
DEDUP_258,10,0
DEDUP_232,10,0
DEDUP_246,10,0
DEDUP_254,10,0
DEDUP_246,10,0
DEDUP_239,10,0
DEDUP_255,10,0
DEDUP_255,10,0
DEDUP_228,10,0
DEDUP_269,10,0
DEDUP_242,10,0
DEDUP_260,10,0
DEDUP_243,10,0
DEDUP_249,10,0
DEDUP_248,10,0
DEDUP_253,10,0
DEDUP_278,10,0
DEDUP_250,10,0
DEDUP_252,10,0
DEDUP_232,10,0
DEDUP_255,10,0
DEDUP_254,10,0
DEDUP_256,10,0
DEDUP_247,10,0
DEDUP_240,10,0
DEDUP_242,10,0
DEDUP_245,10,0
DEDUP_242,10,0
DEDUP_269,10,0
DEDUP_245,10,0
DEDUP_268,10,0
DEDUP_260,10,0
DEDUP_259,10,0
DEDUP_265,10,0
DEDUP_239,10,0
DEDUP_249,10,0
DEDUP_255,10,0
DEDUP_232,10,0
DEDUP_233,10,0
DEDUP_236,10,0
DEDUP_253,10,0
DEDUP_238,10,0
DEDUP_241,10,0
DEDUP_237,10,0
DEDUP_263,10,0
DEDUP_240,10,0
DEDUP_249,10,0
DEDUP_251,10,0
DEDUP_261,10,0
DEDUP_247,10,0
DEDUP_240,10,0
DEDUP_245,10,0
DEDUP_246,10,0
DEDUP_238,10,0
DEDUP_256,10,0
DEDUP_259,10,0
DEDUP_233,10,0
DEDUP_252,10,0
DEDUP_264,10,0
DEDUP_255,10,0
DEDUP_248,10,0
DEDUP_242,10,0
DEDUP_257,10,0
DEDUP_257,10,0
DEDUP_257,10,0
DEDUP_253,10,0
DEDUP_242,10,0
DEDUP_251,10,0
DEDUP_257,10,0
DEDUP_256,10,0
DEDUP_258,10,0
DEDUP_255,10,0
DEDUP_261,10,0
DEDUP_243,10,0
DEDUP_261,10,0
DEDUP_250,10,0
DEDUP_272,10,0
DEDUP_262,10,0
DEDUP_263,10,0
DEDUP_243,10,0
DEDUP_241,10,0
DEDUP_245,10,0
DEDUP_233,10,0
DEDUP_249,10,0
DEDUP_265,10,0
DEDUP_238,10,0
DEDUP_244,10,0
DEDUP_249,10,0
DEDUP_259,10,0
DEDUP_245,10,0
DEDUP_237,10,0
DEDUP_246,10,0
DEDUP_248,10,0
DEDUP_231,10,0
DEDUP_256,10,0
DEDUP_254,10,0
DEDUP_240,10,0
DEDUP_248,10,0
DEDUP_234,10,0
DEDUP_232,10,0
DEDUP_258,10,0
DEDUP_244,10,0
DEDUP_230,10,0
DEDUP_265,10,0
DEDUP_272,10,0
DEDUP_244,10,0
DEDUP_235,10,0
DEDUP_244,10,0
DEDUP_247,10,0
DEDUP_256,10,0
DEDUP_244,10,0
DEDUP_253,10,0
DEDUP_246,10,0
DEDUP_232,10,0
DEDUP_245,10,0
DEDUP_260,10,0
DEDUP_261,10,0
DEDUP_252,10,0
DEDUP_228,10,0
DEDUP_253,10,0
DEDUP_235,10,0
DEDUP_245,10,0
DEDUP_267,10,0
DEDUP_240,10,0
DEDUP_267,10,0
DEDUP_256,10,0
DEDUP_247,10,0
DEDUP_263,10,0
DEDUP_264,10,0
DEDUP_242,10,0
DEDUP_231,10,0
DEDUP_257,10,0
DEDUP_225,10,0
DEDUP_251,10,0
DEDUP_257,10,0
DEDUP_240,10,0
DEDUP_267,10,0
DEDUP_253,10,0
DEDUP_258,10,0
DEDUP_230,10,0
DEDUP_243,10,0
DEDUP_246,10,0
DEDUP_252,10,0
DEDUP_245,10,0
DEDUP_258,10,0
DEDUP_246,10,0
DEDUP_252,10,0
DEDUP_254,10,0
DEDUP_239,10,0
DEDUP_248,10,0
DEDUP_249,10,0
DEDUP_266,10,0
DEDUP_261,10,0
DEDUP_254,10,0
DEDUP_238,10,0
DEDUP_245,10,0
DEDUP_250,10,0
DEDUP_267,10,0
DEDUP_245,10,0
DEDUP_253,10,0
DEDUP_244,10,0
DEDUP_244,10,0
DEDUP_253,10,0
DEDUP_238,10,0
DEDUP_250,10,0
DEDUP_265,10,0
DEDUP_244,10,0
DEDUP_239,10,0
DEDUP_264,10,0
DEDUP_257,10,0
DEDUP_234,10,0
DEDUP_254,10,0
DEDUP_253,10,0
DEDUP_253,10,0
DEDUP_272,10,0
DEDUP_252,10,0
DEDUP_240,10,0
DEDUP_247,10,0
DEDUP_252,10,0
DEDUP_246,10,0
DEDUP_246,10,0
DEDUP_248,10,0
DEDUP_252,10,0
DEDUP_238,10,0
DEDUP_265,10,0
DEDUP_228,10,0
DEDUP_254,10,0
DEDUP_264,10,0
DEDUP_231,10,0
DEDUP_263,10,0
DEDUP_255,10,0
DEDUP_237,10,0
DEDUP_255,10,0
DEDUP_260,10,0
DEDUP_238,10,0
DEDUP_249,10,0
DEDUP_247,10,0
DEDUP_246,10,0
DEDUP_262,10,0
DEDUP_235,10,0
DEDUP_261,10,0
DEDUP_256,10,0
DEDUP_242,10,0
DEDUP_250,10,0
DEDUP_248,10,0
DEDUP_249,10,0
DEDUP_245,10,0
DEDUP_255,10,0
DEDUP_242,10,0
DEDUP_237,10,0
DEDUP_264,10,0
DEDUP_259,10,0
DEDUP_242,10,0
DEDUP_251,10,0
DEDUP_249,10,0
DEDUP_255,10,0
DEDUP_258,10,0
DEDUP_263,10,0
DEDUP_224,10,0
DEDUP_240,10,0
DEDUP_252,10,0
DEDUP_240,10,0
DEDUP_252,10,0
DEDUP_253,10,0
DEDUP_268,10,0
DEDUP_251,10,0
DEDUP_249,10,0
DEDUP_258,10,0
DEDUP_254,10,0
DEDUP_253,10,0
DEDUP_258,10,0
DEDUP_248,10,0
DEDUP_248,10,0
DEDUP_259,10,0
DEDUP_239,10,0
DEDUP_250,10,0
DEDUP_246,10,0
DEDUP_247,10,0
DEDUP_257,10,0
DEDUP_243,10,0
DEDUP_243,10,0
DEDUP_255,10,0
DEDUP_250,10,0
DEDUP_255,10,0
DEDUP_233,10,0
DEDUP_249,10,0
DEDUP_232,10,0
DEDUP_257,10,0
DEDUP_237,10,0
DEDUP_245,10,0
DEDUP_243,10,0
DEDUP_251,10,0
DEDUP_254,10,0
DEDUP_247,10,0
DEDUP_273,10,0
DEDUP_257,10,0
DEDUP_262,10,0
DEDUP_256,10,0
DEDUP_245,10,0
DEDUP_260,10,0
DEDUP_268,10,0
DEDUP_248,10,0
DEDUP_253,10,0
DEDUP_266,10,0
DEDUP_252,10,0
DEDUP_236,10,0
DEDUP_247,10,0
DEDUP_256,10,0
DEDUP_235,10,0
DEDUP_266,10,0
DEDUP_242,10,0
DEDUP_257,10,0
DEDUP_252,10,0
DEDUP_242,10,0
DEDUP_257,10,0
DEDUP_247,10,0
DEDUP_249,10,0
DEDUP_244,10,0
DEDUP_244,10,0
DEDUP_257,10,0
DEDUP_245,10,0
DEDUP_252,10,0
DEDUP_258,10,0
DEDUP_264,10,0
DEDUP_265,10,0
DEDUP_255,10,0
DEDUP_235,10,0
DEDUP_263,10,0
DEDUP_244,10,0
DEDUP_234,10,0
DEDUP_232,10,0
DEDUP_248,10,0
DEDUP_253,10,0
DEDUP_248,10,0
DEDUP_263,10,0
DEDUP_241,10,0
DEDUP_251,10,0
DEDUP_238,10,0
DEDUP_254,10,0
DEDUP_248,10,0
DEDUP_246,10,0
DEDUP_276,10,0
DEDUP_272,10,0
DEDUP_252,10,0
DEDUP_245,10,0
DEDUP_233,10,0
DEDUP_249,10,0
DEDUP_260,10,0
DEDUP_246,10,0
DEDUP_236,10,0
DEDUP_243,10,0
DEDUP_254,10,0
DEDUP_240,10,0
DEDUP_253,10,0
DEDUP_245,10,0
DEDUP_238,10,0
DEDUP_248,10,0
DEDUP_247,10,0
DEDUP_248,10,0
DEDUP_250,10,0
DEDUP_249,10,0
DEDUP_254,10,0
DEDUP_257,10,0
DEDUP_242,10,0
DEDUP_257,10,0
DEDUP_246,10,0
DEDUP_246,10,0
DEDUP_253,10,0
DEDUP_237,10,0
DEDUP_241,10,0
DEDUP_251,10,0
DEDUP_259,10,0
DEDUP_255,10,0
DEDUP_258,10,0
DEDUP_261,10,0
DEDUP_252,10,0
DEDUP_277,10,0
DEDUP_240,10,0
DEDUP_253,10,0
DEDUP_252,10,0
DEDUP_244,10,0
DEDUP_239,10,0
DEDUP_279,10,0
DEDUP_254,10,0
DEDUP_240,10,0
DEDUP_240,10,0
DEDUP_262,10,0
DEDUP_251,10,0
DEDUP_245,10,0
DEDUP_264,10,0
DEDUP_267,10,0
DEDUP_238,10,0
DEDUP_251,10,0
DEDUP_238,10,0
DEDUP_234,10,0
DEDUP_249,10,0
DEDUP_243,10,0
DEDUP_244,10,0
DEDUP_240,10,0
DEDUP_245,10,0
DEDUP_232,10,0
DEDUP_264,10,0
DEDUP_245,10,0
DEDUP_259,10,0
DEDUP_246,10,0
DEDUP_240,10,0
DEDUP_239,10,0
DEDUP_234,10,0
DEDUP_252,10,0
DEDUP_238,10,0
DEDUP_247,10,0
DEDUP_252,10,0
DEDUP_252,10,0
DEDUP_234,10,0
DEDUP_262,10,0
DEDUP_243,10,0
DEDUP_256,10,0
DEDUP_243,10,0
DEDUP_256,10,0
DEDUP_245,10,0
DEDUP_240,10,0
DEDUP_258,10,0
DEDUP_231,10,0
DEDUP_249,10,0
DEDUP_259,10,0
DEDUP_261,10,0
DEDUP_237,10,0
DEDUP_250,10,0
